sex,graduation,education_form,langs,life_main,people_main,occupation_type,career_start,result
2,2014.0,Full-time,Русский;Українська,1,2,university,2014,0
2,2009.0,Distance Learning,Русский,0,0,university,False,0
1,2012.0,Full-time,False,0,0,university,False,1
1,2015.0,Full-time,Русский,False,False,university,False,0
2,2013.0,Full-time,Русский,1,2,work,2000,0
1,0.0,Distance Learning,False,1,2,work,2009,0
2,2017.0,Full-time,Русский,False,False,university,2012,0
1,2015.0,Full-time,Русский;English,1,6,university,False,1
2,2011.0,Full-time,Русский,1,2,university,False,0
2,2008.0,Full-time,False,0,0,work,2009,1
2,2010.0,Full-time,Русский;Mande,5,0,university,False,0
2,2007.0,Full-time,Русский,False,False,university,False,0
1,2015.0,Full-time,Русский,0,2,university,False,1
2,0.0,Full-time,Русский,False,False,university,False,0
2,2010.0,Full-time,Русский,6,5,work,2011,0
2,2013.0,Full-time,Русский,1,6,work,2020,0
2,2013.0,Full-time,Русский;English;Українська,3,6,university,False,0
2,2011.0,Distance Learning,False,False,False,university,False,0
2,2016.0,Full-time,Русский,6,2,university,False,1
2,2001.0,Full-time,Русский;Italiano;Українська,False,False,university,False,0
2,0.0,Distance Learning,Русский;English,1,2,university,False,0
2,2012.0,Full-time,Русский,5,2,university,False,1
2,0.0,,False,0,0,university,False,0
2,2022.0,Full-time,False,1,2,university,False,1
2,2014.0,Full-time,Русский,0,0,work,2014,0
1,2002.0,Distance Learning,Русский,1,2,work,1999,1
2,2005.0,Full-time,Русский,0,0,university,False,0
1,2017.0,Full-time,English;Русский;Italiano;Српски,6,6,university,False,1
1,2013.0,,Русский,0,0,university,2014,1
2,2004.0,,Русский,0,0,university,False,0
2,2007.0,Full-time,Русский,6,1,university,False,0
1,2007.0,Full-time,Русский,2,1,work,False,0
2,2007.0,Distance Learning,Русский,0,0,university,False,0
1,2020.0,Full-time,Русский;Deutsch,0,0,university,False,1
2,2014.0,Distance Learning,False,0,6,university,False,0
2,1986.0,Full-time,Русский,6,2,university,False,1
2,2016.0,Distance Learning,Русский,0,6,work,2007,0
2,2004.0,Full-time,False,0,0,work,False,1
1,0.0,Full-time,Русский;Հայերեն;English,6,2,university,False,1
2,0.0,Full-time,False,0,0,,False,0
2,2005.0,Full-time,Русский,5,6,work,2005,0
2,2008.0,Full-time,False,False,False,university,False,0
1,2014.0,Full-time,False,0,6,university,False,0
2,2010.0,Full-time,Русский,False,False,university,False,0
2,0.0,Full-time,Русский,0,0,university,False,1
2,2015.0,Full-time,Русский,7,6,work,2013,1
2,2007.0,Full-time,Русский,False,False,university,False,0
2,1989.0,Full-time,Русский,False,False,university,2005,0
2,2011.0,Distance Learning,Русский,0,0,work,2006,1
2,2008.0,Full-time,Русский,False,False,work,False,1
1,1998.0,Full-time,Русский,False,False,work,2012,1
1,2017.0,,False,False,False,work,False,1
1,2013.0,Full-time,Русский,0,0,university,False,1
1,2009.0,Full-time,Русский,False,2,university,2007,1
2,2012.0,Distance Learning,Русский,False,6,university,False,0
2,2014.0,Full-time,Русский;Українська;Беларуская (тарашкевiца);English,0,0,university,False,1
1,2008.0,Full-time,False,False,False,university,False,1
2,2012.0,Distance Learning,Русский,6,6,work,2004,1
2,2016.0,Full-time,Русский,6,6,university,False,0
2,0.0,Distance Learning,Русский;English,0,0,work,2007,0
1,0.0,Distance Learning,Русский,0,0,university,False,1
2,2004.0,Full-time,Русский,5,6,work,2007,0
2,2000.0,Full-time,False,False,False,university,False,0
1,2015.0,Full-time,Русский,False,False,university,False,1
2,0.0,Distance Learning,Русский,False,False,work,2004,0
1,2012.0,Full-time,False,6,2,university,False,1
1,0.0,Full-time,False,6,0,work,False,1
1,2014.0,,False,0,0,university,False,1
1,2011.0,Full-time,False,False,False,university,False,1
2,2014.0,,Русский;Українська;English,8,1,university,False,1
2,2010.0,Full-time,False,False,False,university,False,0
2,2015.0,Full-time,Русский;Українська;English,6,2,university,2012,1
1,2010.0,Full-time,Русский,0,0,university,False,1
